번호,법령명,조문명
168,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 49., 일부개정]",제2조 제2장 정부의 고령자 취업지원
169,"고용상 연령차별금지 및 고령자고용촉진에 관한 법률 시행규칙[시행2025. 12. 31.] [고용노동부령 제457호,2025. 12. 50., 일부개정]",제12조 우선고용직종에 관한 고용현황 제출
170,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제3조 위원회의 설치 및 기능
171,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 2., 타법개정]",제19조 성실이행 의무
172,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제3조 위원장의 직무 등
173,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 31., 타법개정]",제14조 국가기술자격 검정의 기준 등
174,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 32., 타법개정]",제20조의2 과정평가형 자격의 합격기준 등
175,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 33., 타법개정]",제31조의2 검정업무의 대행기관
176,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제6조 사회적기업 육성 기본계획에 포함될 사항
177,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제12조의6 이사회
178,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제6조 국가기술자격의 인정 범위
179,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제14조 수험원서 등
180,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제25조 검정의 일부 합격 확인 신청
181,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제33조의6 비밀유지
182,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제40조의2 과정평가형 자격 관리ㆍ운영 규정
183,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제6조 위원의 임기
184,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제14조 관계 기관 등의 협조
185,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제1조 목적
186,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제12조의3 교육ㆍ훈련과정의 지정기준
187,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제17조 검정 과목의 면제신청 절차 등
188,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제29조 권한의 위임ㆍ위탁
189,"필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제12조 지원계획 및 이행 등에 대한 평가
190,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제12조의5 임원
191,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제12조의7 회계
192,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제4조 국가기술자격 종목신설등 검토의견서
193,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제13조의2 과정평가형 자격 종목선정 검토
194,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제24조 서비스 분야의 합격 결정 기준
195,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제34조 국가기술자격의 취소 또는 정지에 관한 기준
196,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제41조의2 업무 재위탁 등에 관한 절차
197,"최저임금법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제2조 최저임금의 범위
198,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제9조 의제별ㆍ업종별위원회
199,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제1조의2 국가기술자격제도발전기본계획의 수립
200,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 31., 타법개정]",제13조 검정별 소관 주무부장관
201,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 32., 타법개정]",제20조 검정의 합격 결정 기준
202,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 33., 타법개정]",제31조 수탁기관 평가 등
203,"필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제6조 간사
204,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제3조 사회서비스의 종류
205,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 31., 타법개정]",제12조의4 정관
206,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제7조 종목별 소관 주무부장관
207,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 31., 타법개정]",제26조 합격인원 예정선발
208,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 32., 타법개정]",제33조의5 포상금의 지급기준
209,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 33., 타법개정]",제42조 국가기술자격 취득자 관리 현황 통보
210,"최저임금법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제6조 최저임금위원회 특별위원
211,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제1조 목적
212,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 2., 타법개정]",제5조 위원장 등의 직무
213,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 3., 타법개정]",제12조 사무처
214,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 4., 타법개정]",제20조 지역별 사회적 대화의 지원
215,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제9조 국가기술자격의 조사와 연구 업무의 대행
216,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제15조의3 과정평가형 자격의 연도별 시행계획
217,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제26조 국가기술자격증의 관리 등
218,"필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제1조 목적
219,"필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제13조 행정적ㆍ재정적 지원
220,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제7조의2 시ㆍ도별 사회적기업 지원계획의 수립 등
221,"필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제12조의2 구매계획과 구매실적의 통보
222,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제9조 검정의 방법
223,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제15조의2 국가 공인 민간자격 취득자의 검정과목 면제
224,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제29조 국가기술자격증의 발급신청서
225,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제33조 국가기술자격 취득자에 대한 우대
226,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제40조 검정 관리ㆍ운영규정
227,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제7조 위원회의 회의
228,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제13조 전문위원
229,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제34조 과태료의 부과기준
230,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제12조 종목신설등의 절차
231,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제18조 시험문제의 공개
232,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제27조 국가기술자격 취득자의 취업 등에 대한 우대
233,"필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제4조 위원의 임기
234,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제5조 
235,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 31., 타법개정]",제12조의8 업무의 협조
236,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제10조의4 교육ㆍ훈련과정 지정 등의 지원
237,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 31., 타법개정]",제19조 
238,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 32., 타법개정]",제31조의2 국가기술자격 취득사항 확인서 발급 절차
239,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 33., 타법개정]",제39조 
240,"최저임금법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제4조 사용자단체의 지정
241,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제16조 조사ㆍ연구의 의뢰
242,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제5조 전문위원회
243,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 31., 타법개정]",제8조 국가기술자격 정보체계의 구축 및 운영
244,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 32., 타법개정]",제15조의2 과정평가형 자격의 종목선정 절차
245,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 33., 타법개정]",제25조 국가기술자격증의 발급신청 등
246,"필수업무 지정 및 종사자 보호ㆍ지원에 관한 법률 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제10조 운영세칙
247,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제10조 영업활동을 통한 수입의 기준
248,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제1조 목적
249,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 31., 타법개정]",제11조의2 과정평가형 자격 시행결과 보고
250,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 32., 타법개정]",제21조 시험위원의 자격 등
251,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 33., 타법개정]",제33조의2 국가기술자격 취득자의 교육훈련 종목 및 절차 등
252,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 34., 타법개정]",제41조 주무부장관의 업무 위탁 등에 관한 절차
253,"최저임금법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제5조 최저임금위원회 사용자위원의 추천
254,"경제사회노동위원회법[시행2026. 1. 2.] [법률 제21065호,2025. 10. 1., 타법개정]",제17조 관계 공무원 및 직원의 파견 등
255,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 30., 타법개정]",제14조의3 교육ㆍ훈련과정의 이수기준
256,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 31., 타법개정]",제22조 합격 결정 기준의 예외
257,"국가기술자격법 시행령[시행2026. 1. 2.] [대통령령 제35947호,2025. 12. 32., 타법개정]",제32조 위탁업무 등의 수행에 관한 내용 통보
258,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 30., 타법개정]",제2조 취약계층의 구체적 기준
259,"사회적기업 육성법 시행령[시행2026. 1. 2.] [대통령령 제35948호,2025. 12. 31., 타법개정]",제12조의3 실질적 동일성의 기준
260,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 30., 타법개정]",제8조 국가기술자격의 종목별 시험과목
261,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 31., 타법개정]",제15조 부정행위의 기준 등
262,"국가기술자격법 시행규칙[시행2026. 1. 2.] [고용노동부령 제459호,2025. 12. 32., 타법개정]",제24조의2 과정평가형 자격의 평가방법 및 절차
